||Praha|kostel sv. Bartoloměje|Středočeský||Šlajch, Vladimír||28||50.0829158|14.4171828||2000|||||||||||||8|1||||||||||||římskokatolický kostel|||||||440||||||||||
126||Praha|Betlémská kaple|Středočeský||Šlajch, Vladimír||28||50.0842975|14.4174692||2021|1|26|||||8800000||||||8||||||||||||||||||||?||||Cena varhan: https://zpravy.aktualne.cz/domaci/betlemska-kaple-se-docka-novych-varhan-s-naprosto-raritnim-t/r~24e01f62c91811eb9106ac1f6b220ee8/||||||
127||Praha|Karolinum|Středočeský||Vleugels|||21|50.0862192|14.4231789||2021|2||||||18600000||||||6||||||||||||||1||||||?||||Cena varhan: https://www.klasikaplus.cz/souvislosti/item/3701-prazske-karolinum-vymeni-varhany||||||
88||Přerov|kostel sv. Vavřince|Olomoucký||Rieger-Kloss||14||49.4537372|17.4492850||1958|3|33|p|pneumatická traktura|||||||||10|1|||1|||||||||římskokatolický kostel|||||||2992||||||||||
40||Příbram|kostel Nanebevzetí Panny Marie (Svatá Hora)|Středočeský|Příbram|Šlajch, Vladimír|*1955|28||49.6849767|14.0175856||2018|3|30|mz|mechanická traktura, zásuvková vzdušnice|||15000000||||||3|1||||1||||||||římskokatolický kostel||Nedělní varhanní půlhodinky|Velký a reprezentativní nástroj současného varhanáře Vladimíra Šlajcha navazuje na tradice barokního varhanářství.|||https://svata-hora.cz/varhany/; https://jaroslavtuma.cz/2018/02/04/svata-hora/|1447|||||1||https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Basilica_of_the_Assumption_of_the_Virgin_Mary_in_P%C5%99%C3%ADbram_23.jpg/640px-Basilica_of_the_Assumption_of_the_Virgin_Mary_in_P%C5%99%C3%ADbram_23.jpg|Václav Štorek, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Svat%C3%A1_Hora_br%C3%A1na_5.jpg/640px-Svat%C3%A1_Hora_br%C3%A1na_5.jpg|VitVit, CC BY-SA 4.0, via Wikimedia Commons
123||Rabštejn nad Střelou|klášterní kostel Sedmibolestné Panny Marie|Plzeňský|Plzeň-sever|Reiss, Anton|1741-1815|34||50.0421950|13.2893842||1793|2|12|?|?|||||||||5|1|1|||||1||||||římskokatolický kostel||Varhany nad Střelou||Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 264) (str. 214); Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (2013/3, str. 1)||http://mvk.utery.eu/index.php?page=rabstejn|346||Menší, ale zvukově neuvěřitelně osobitý pozdně barokní nástroj.|||1|||||
65||Rychnov nad Kněžnou|zámecký kostel Nejsvětější Trojice|Královéhradecký|Rychnov nad Kněžnou|Španěl, Jiří ml.|1789-1855|29||50.1674703|16.2766592||1843|2|37|mz|mechanická traktura, zásuvková vzdušnice|||30000 zl.|Rieger-Kloss; Grygar, Vladimír|14||1995||1|1||1||||1|1|||||římskokatolický kostel|||Jedinečný příklad raně romantického varhanářství u nás.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 220)||https://vzkrisenevarhany.cz/rychnov-nad-kneznou/|821||V dispozici varhan se snoubí prvky klasického barokního varhanářství s novými romantickými vlivy, reprezentovanými především velkým množství rejstříků v nižších polohách i širší paletou jazykových rejstříků. Nástroj stojí v jedné z prvních pseudogotických skříní a vyniká i důmyslným technickým zpracováním.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Kostel_Nejsv%C4%9Bt%C4%9Bj%C5%A1%C3%AD_Trojice_po_rekonstrukci.jpg/640px-Kostel_Nejsv%C4%9Bt%C4%9Bj%C5%A1%C3%AD_Trojice_po_rekonstrukci.jpg|A.Patek, CC BY-SA 4.0, via Wikimedia Commons||
118||Řepín|kostel Panny Marie Vítězné|Středočeský|Mělník|Prediger, Josef|1812-1891|35||50.3669428|14.6346178||1850|2|18|mz|mechanická traktura, zásuvková vzdušnice|||||||||4|1||1||||1|1|||||římskokatolický kostel|||Zachovalý nástroj významného varhanáře Josefa Predigera.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 222)|||765||Varhany postavené do novogotického kostela stojí v pseudogotické skříni. Protože Josef Prediger byl konzervativní varhanář, nové trendy raně romantického varhanářství se v jeho nástrojích projevují jen omezeně, především ve větším množství rejstříků nižších poloh. Nástroj je hratelný, ale čeká na rekonstrukci.|||1|||||
117||Slaný|kostel sv. Gotharda|Středočeský|Kladno|Reiss, Anton|1741-1815|34||50.2296094|14.0897456||1783|2|22|?|?|||1200 zl.|Doubek a syn|73||1997||4|1|1|||||1||||||římskokatolický kostel||Varhany znějící|Největší a jeden z mála dochovaných nástrojů Antona Reisse.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 224)|||360||Varhanní skříň vykazuje typický Reissův rukopis, nejviditelnější v mohutných píšťalových věžích a zešikmené korunní římse.|||1|||||
28||Smečno|kostel Nejsvětější Trojice|Středočeský|Kladno|neznámý||||50.1885564|14.0381928||1587|1|13|mz|mechanická traktura, zásuvková vzdušnice||||Doubek, Dušan|73||1999||1|1|1||||1||||1||Renesanční malovaná skříň zdobená erby. Názvy rejstříků jsou namalovány přímo na povrch skříně. Uzavíratelná křídla skříně se bohužel nedochovala.|římskokatolický kostel|||Tyto nejstarší zachovalé varhany v českých zemích jsou zcela jedinečnou památkou.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 226)||https://regiony.rozhlas.cz/kostel-ve-smecne-ukryva-nejstarsi-varhany-ve-stredni-evrope-za-jejich-krasu-7896123; https://www.varhany.slansko.cz/2009/varhany/kostel-nejsvetejsi-trojice-smecno.html|518||Při restaurování varhan byla odstraněna řada v průběhu staletí provedených úprav, včetně odpojení pozitivu, který byl k varhanám dodatečně připojen v 18. století. Nástroj je pro autentické vyznění dobových skladeb laděn do tzv. středotónové temperatury, která zajišťuje typické vyznění harmonií v tóninách s vyšším počtem předznamenání. Ačkoli je nástroj jednomanuálový, rejstříky jsou členěny do dvou samostatně zapínatelných chórů.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Pipe_organs_in_Church_of_Holy_Trinity_in_Sme%C4%8Dno.jpg/330px-Pipe_organs_in_Church_of_Holy_Trinity_in_Sme%C4%8Dno.jpg|Štěpán Svoboda, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Sme%C4%8Dno_2023-09-28_Kostel_Nejsv%C4%9Bt%C4%9Bj%C5%A1%C3%AD_Trojice.jpg/640px-Sme%C4%8Dno_2023-09-28_Kostel_Nejsv%C4%9Bt%C4%9Bj%C5%A1%C3%AD_Trojice.jpg|Petr Kinšt, CC BY-SA 4.0, via Wikimedia Commons
119||Šluknov|kostel sv. Václava|Ústecký|Děčín|A. Schuster & Sohn|||22|51.0044772|14.4517908||1940|3|47|ep|elektropneumatická traktura|||||||||6|1||1||||||1||||římskokatolický kostel|||Velký nástroj zahraniční firmy plně respektující zásady varhanního hnutí.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 232)|||3893||Dispozice varhan plně respektuje zásady tzv. varhanního hnutí, usilujícího o návrat k baroknímu zvukovému ideálu, spočívajícímu mj. v lesklém zvuku rejstříků vyšších poloh.|||1|||||
78||Šternberk|kostel Zvěstování Panny Marie|Olomoucký|Olomouc|Rieger||13||49.7318594|17.3016911||1929|3|45|pk|pneumatická traktura, kuželková vzdušnice||||Strakoš, Petr|||||4|1||1|||||1|1||||římskokatolický kostel|||Reprezentativní nástroj firmy Rieger z meziválečného období.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 236)|||4317||Jak je pro meziválečné varhany firmy Rieger typické, dispozice varhan již vykazuje rysy tzv. varhanního hnutí, usilujícího o návrat k baroknímu zvukovému ideálu. Ten spočívá mj. v lesklém zvuku rejstříků vyšších poloh. Původní moderně pojatá varhanní skříň se kvůli poškození červotočem nedochovala. Skvělému vyznění varhan napomáhá akustika rozlehlého chrámu.|||1|||||
60||Štípa|poutní kostel Narození Panny Marie|Zlínský|Zlín|Čápek a Zachystal||58||49.2624139|17.7157653|Rakousko|1890|2|27|mk|mechanická traktura, kuželková vzdušnice|||5500 zl.|Michek, Dalibor; Wegscheider, Christian|||2015||2|1||1|||||1|||||římskokatolický kostel||Kouzlo varhan|Vrcholně romantické varhany, nejvýznamnější dílo firmy Čápek a Zachystal na Moravě.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 238); Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (2013/6, str. 1)|||4370||Novorenesanční skříň vhodně zapadá do historického interiéru poutního kostela. Varhanáři nepoužili v té době obvyklou kuželkovou vzdušnici, nýbrž vlastní systém. Restaurování varhan provedla v letech 2006-2009 drážďanská firma Wegscheider.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Poutn%C3%AD_chr%C3%A1m_Narozen%C3%AD_Panny_Marie_%C5%A0t%C3%ADpa_%28Zl%C3%ADn%29.jpg/640px-Poutn%C3%AD_chr%C3%A1m_Narozen%C3%AD_Panny_Marie_%C5%A0t%C3%ADpa_%28Zl%C3%ADn%29.jpg|Albertophoto21, CC BY-SA 4.0, via Wikimedia Commons||
32||Teplá|klášterní kostel Zvěstování Panny Marie|Karlovarský|Cheb|Gartnerové||4||49.9664989|12.8784994||1760|3|34|mz|mechanická traktura, zásuvková vzdušnice|||||||||3|1|1|||||1||||1||římskokatolický kostel|||Jedny z největších dochovaných barokních varhan u nás. Reprezentativní částečně dochované varhany z dílny Gartnerů.|Tomší, Lubomír et al. Historické varhany v Čechách. 1. vyd. Praha: Libri, 2000. 263 s. ISBN 80-7277-009-8. (str. 133); Tomíček, Jan. Varhany a jejich osudy. [Praha]: PM vydavatelství, 2010. 310 s. ISBN 978-80-900808-2-9. (str. 170-172)|||732||Varhanní skříň zaujme mohutně zvlněnou prospektovou římsou. Nástroj v průběhu 19. a 20. století prošel několika dispozičními změnami.|||1|||||
111||Třebíč|kostel sv. Martina|Vysočina|Třebíč|Kánský-Brachtl||8||49.2148156|15.8801017||2018|3|34|mz|mechanická traktura, zásuvková vzdušnice||Komorník, Jan (varhanář)|10500000||||||6|1||||1||||1||||římskokatolický kostel|||Poměrně rozsáhlý nástroj významné soudobé varhanářské firmy.|||http://www.varhany-trebic-martin.cz; https://cs.wikipedia.org/wiki/Kostel_svat%C3%A9ho_Martina_z_Tours_(T%C5%99eb%C3%AD%C4%8D)#Varhany|2395||Původní nástroj Jana Komorníka z r. 1796 byl v r. 1931 necitlivě nahrazen novými varhanami firmy Rieger. Ty byly na konci 20. století již ve velmi špatném stavu. Nový nástroj postavený firmou Kánský-Brachtl se drží klasických barokních dispozičních principů, lze jej však použít k interpretaci hudby všech stylových období.|||1|||||
89||Uherské Hradiště|kostel sv. Františka Xaverského|Zlínský||Rieger-Kloss||14||49.0677775|17.4597183||1948|3|35|p|pneumatická traktura|||||||||10|1|||1|||||||||římskokatolický kostel|||||||5028||||||||||
84||Uničov|klášterní kostel Povýšení sv. Kříže|Olomoucký|Olomouc|Rieger-Kloss||14||49.7696683|17.1232069||1987|3|46|mz|mechanická traktura, zásuvková vzdušnice|||||||||9|1|||1|||||1||||koncertní síň v bývalém kostele|||||||2910||Jedny z velkých mechanických varhan firmy Rieger-Kloss. Mechanickou trakturu začala firma na vybraných nástrojích používat od 70. let 20. století.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Uni%C4%8Dov%2C_kostel_Pov%C3%BD%C5%A1en%C3%AD_svat%C3%A9ho_K%C5%99%C3%AD%C5%BEe.jpg/640px-Uni%C4%8Dov%2C_kostel_Pov%C3%BD%C5%A1en%C3%AD_svat%C3%A9ho_K%C5%99%C3%AD%C5%BEe.jpg|Palickap, CC BY-SA 4.0, via Wikimedia Commons||
80||Ústí nad Labem|kostel sv. Vojtěcha|Ústecký||Rieger-Kloss||14||50.6590983|14.0422639||1972|3|47|mz|mechanická traktura, zásuvková vzdušnice|||||||||10|1|||1|||||||||koncertní síň|||||||3126||||V opusovém seznamu Rieger-Kloss je to vedeno jako „koncertní a výstavní síň“ – zřejmě proto, že kostel tehdy nesloužil církevním účelům.||||||
39||Úterý|kostel sv. Jana Křtitele|Plzeňský|Plzeň-sever|Burkhardt, Leopold|1680-1730|24||49.9392822|13.0030414||1725?|1|10|mz|mechanická traktura, zásuvková vzdušnice||||Valenta, Rudolf|69||2011||5|1|1|||||1||||||římskokatolický kostel||||||http://www.mvk.utery.eu/|3073||Opravené varhany jsou každoročně dějištěm Mistrovského varhanního kurzu v Úterý.|||1|||||
91||Valašské Meziříčí|kostel Nanebevzetí Panny Marie|Zlínský|Vsetín|Rieger-Kloss||14||49.4725847|17.9708019||1957|3|59|pk|pneumatická traktura, kuželková vzdušnice||||Roháč-Juráň|66||2010||9|1|||1|||||1||||římskokatolický kostel||Podzimní varhany|||||381||Jeden z množství velkých třímanuálových nástrojů, které firma Rieger-Kloss po r. 1945 postavila v chrámových prostorech. Na varhanách pravidelně probíhá festival Podzimní varhany.|||1|||||
124||Valtice|zámecká kaple Narození Páně|Jihomoravský|Břeclav|Walther, Lothar Franz|||23|48.7392564|16.7548753||1729|1|8|mz|mechanická traktura, zásuvková vzdušnice|||700 zl.|Doubek a syn|73||1998||5|1|1|||||1||||||římskokatolický kostel||||Sehnal, Jiří. Barokní varhanářství na Moravě. Vydání první. Brno: Muzejní a vlastivědná společnost v Brně, 2003-2018. 3 svazky. Prameny k dějinám a kultuře Moravy; č. 9, 10. Monografie. ISBN 80-7275-042-9. (2. díl, str. 174)||https://www.klasikaplus.cz/serial/item/3919-varhany-a-varhanici-19-br-zamecka-kaple-ve-valticich|834||Menší varhany vídeňského dvorního varhanáře Walthera. V manuálu a dokonce i v pedálu disponují tzv. lomenou oktávou, kde je ve spodní poloze díky rozdělení dvou černých kláves na dvě poloviny umožněno hrát chromatické tóny Fis a Gis, což bylo u barokních varhan v českých zemích spíše výjimkou. Po 2. světové válce byly varhany zdevastovány – došlo ke ztrátě všech kovových píšťal.|||1|||||
90||Velehrad|bazilika Nanebevzetí P. Marie a svatých Cyrila a Metoděje|Zlínský|Uherské Hradiště|Rieger-Kloss||14||49.1034958|17.3955881||1963|3|59|ek|elektrická traktura, kuželková vzdušnice||Richter, Anton; Sieber, Franz Ignaz (varhanáři)|||||||8|1|||1|||||1||1||římskokatolický kostel||cykly varhanních koncertů||Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 252)|||642||Barokní nástroj Antona Richtera a Franze Ignaze Siebera z roku 1747 se vlivem přestaveb nedochoval. Současné varhany firmy Rieger-Kloss patří k největším nástrojům postaveným u nás v dané době. Použití elektrické traktury namísto pneumatické umožnilo dosáhnout vyšší preciznosti hry na tak velkém nástroji.||varhany.net mají pk, Krátký píše ek.|1||https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Velehrad_-_48448317417.jpg/640px-Velehrad_-_48448317417.jpg|liakada-web, CC BY 2.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Kl%C3%A1%C5%A1ter_cisterci%C3%A1k%C5%AF_%28Velehrad%29_1.jpg/640px-Kl%C3%A1%C5%A1ter_cisterci%C3%A1k%C5%AF_%28Velehrad%29_1.jpg|Bjalek Michal, CC BY-SA 3.0, via Wikimedia Commons
120||Vrbno pod Pradědem|kostel sv. Michaela archanděla|Moravskoslezský|Bruntál|Rieger, Franz|1812-1885|61||50.1174356|17.3788681||1847|2|20|mz|mechanická traktura, zásuvková vzdušnice|||||||||5|1||1|||||1|||||římskokatolický kostel|||Nejstarší dochované varhany Franze Riegera, jehož synové později založili světoznámou varhanářskou firmu Rieger.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 256)|||4889|||||1|||||
87||Zábřeh|kostel sv. Bartoloměje|Olomoucký|Šumperk|Rieger-Kloss||14||49.8827681|16.8733381||1955|3|47|p|pneumatická traktura|||||||||9|1|||1|||||1||||římskokatolický kostel|||||||878||Varhany bývají pro své zvukové vlastnosti dobře hodnoceny a jsou místem pravidelných koncertů. Varhany byly postaveny s pneumatickou trakturou, což je pro nástroje Rieger-Kloss z 50. let 20. století ještě typické.|||1|||||
36||Zlatá Koruna|kostel Nanebevzetí Panny Marie|Jihočeský|Český Krumlov|Stark, Abrahám|1659-1709|26||48.8553992|14.3706922||1699|2|20|?|?||||Šlajch, Vladimír|28||1984||2|1|1|||||1||||||římskokatolický kostel|||Reprezentativní varhany vynikajícího loketského varhanáře Abraháma Starka.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 258)||https://www.vladimirslajch.cz/varhany/zobraz_projekty.php?id=Zlata_Koruna; https://www.facebook.com/varhanyzlatakoruna/|403||Téměř úplně zachovalé varhany evropského významu restauroval na vlastní náklady v 80. letech 20. století Vladimír Šlajch.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Goldenkron_Orgel_Starck.jpg/480px-Goldenkron_Orgel_Starck.jpg|Regerman, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Kl%C3%A1%C5%A1ter_Zlat%C3%A1_Koruna_%282%29.jpg/640px-Kl%C3%A1%C5%A1ter_Zlat%C3%A1_Koruna_%282%29.jpg|Vlach Pavel, CC BY-SA 4.0, via Wikimedia Commons
83||Zlín|filharmonie|Zlínský||Rieger-Kloss||14||49.2231508|17.6643589||1983|3|44|mz|mechanická traktura, zásuvková vzdušnice|||||||||10|0|||1|||||||||koncertní síň|1||||||5597||||Dříve tam byly varhany IV/77 z r. 1956, ek.||||||
121||Žďár nad Sázavou|bazilika Nanebevzetí Panny Marie a sv. Mikuláše|Vysočina|Žďár nad Sázavou|Sieber, Jan David|1670-1723|22||49.5830356|15.9378550||po 1710|2|19|mz|mechanická traktura, zásuvková vzdušnice||Santini, Jan Blažej; Jäckel, Matěj Václav (výzdoba)||Michek, Dalibor|44||2022||3|1|1|||||1|||||Unikátní dvojice čtyřstranných skříní, navržených slavným architektem Santinim, je rozmístěna symetricky po obou stranách transeptu, přičemž pouze v jedné ze skříní je skutečně umístěn varhanní stroj.|římskokatolický kostel|||Zachovalé varhany Johanna Davida Siebera se zcela unikátní varhanní skříní.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 262)|||1882|||||1|||||
122||Želiv|klášterní kostel Narození Panny Marie|Vysočina|Pelhřimov|A.Q. Attentus Qualitatis|||24|49.5292772|15.2152100||2016|3||pk|pneumatická traktura, kuželková vzdušnice||Santini, Jan Blažej|||||||4|1||1|||||1||||Mimořádně hodnotná skříň navržená slavným architektem Santinim. Píšťalová pole jsou zakončena okřídlenými hlavami andělů, varhanní skříně propojuje monumentální koruna.|římskokatolický kostel|||Současný nástroj je cenný díky své skříni.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 264)|||414||Cenná varhanní skříň vznikla pro původní barokní nástroj Jiřího Vojtěcha Dvorského, který se bohužel nedochoval. Novější varhany Jana Tučka z r. 1942 nahradil v nedávné době nově postavený historizující nástroj.||nové varhany: viz POPIS OBNOVY PROJEKTU Kostel Narození Panny Marie v Želivě středisko pro duchovní a kulturní obnovu regionu https://adoc.pub/kostel-narozeni-panny-marie-v-eliv-stedisko-pro-duchovni-a-k.html|1|||||
128||Olomouc|katedrála sv. Václava, presbytář|Olomoucký|Olomouc|Rieger-Kloss||14||49.5977197|17.2626861||1977|2||mez|mechanická traktura (manuály), elektrická traktura (pedál)|||||||||8|1|||1|||||1||||římskokatolický kostel|||Relativně menší, ale zdařilý nástroj, postavený pro presbytář olomoucké katedrály. Tónová traktura manuálů je mechanická, traktura pedálu elektrická. Unikátní jsou volné kombinace mechanické konstrukce.|LYKO, Petr. Varhanářská firma Rieger. Online. Disertační práce. Ostrava: Ostravská univerzita, Pedagogická fakulta. 2018. Dostupné z: https://theses.cz/id/ev7b8g/ (str. 91)|||5708|||||1|||||
129||Olomouc|kostel Panny Marie Pomocnice křesťanů (Hodolany)|Olomoucký|Olomouc|Tuček, Jan; Stavinoha, Jaroslav|1842-1913|31;70||49.5911181|17.2836803||1913;2016|2|38|ek|elektrická traktura, kuželková vzdušnice|||4000 K; 1500000||||||10|1||1||1|||1|||||římskokatolický kostel||Hodolanské varhany||||https://www.hodolany-farnost.cz/category/nase-varhany/|3616||Původní Tučkův nástroj měl 16 rejstříků. Po většinu své existence byl značně poruchový. Ve 21. století byl stav řešen rekonstrukcí a výrazným rozšířením nástroje, při kterém byly použity i píšťaly z varhan kostela sv. Jana Křtitele v Hlučíně.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Kostel_Jiraskova_ulice_Olomouc.JPG/360px-Kostel_Jiraskova_ulice_Olomouc.JPG|Michal Maňas , CC BY 4.0, via Wikimedia Commons||
130||Olomouc|kostel svatého Cyrila a Metoděje (Hejčín)|Olomoucký|Olomouc|Rieger||13||49.6026411|17.2332022||1931|2|35|epk|elektropneumatická traktura, kuželková vzdušnice||||Roháč-Juráň|66||2020|3 711 044,00 Kč|9|1||1|||||1|1||||římskokatolický kostel||||HEJNAR, Martin. Chrám svatého Cyrila a Metoděje v Olomouci-Hejčíně a jeho varhany. Online, seminární práce. Brno, Masarykova univerzita, Filozofická fakulta Masarykovy univerzity, Ústav hudební vědy. Dostupné z: https://www.farnost-olomouc-hejcin.cz/images/historie/chram_sv_cyril_metodej_olomouc_hejcin_varhany.pdf||https://www.farnost-olomouc-hejcin.cz/historie/varhany|3615||V roce 1980 byly varhany silně postiženy zatékající dešťovou vodou. Problémy kompletně vyřešila až generální rekonstrukce firmou Roháč-Juráň v r. 2020, spojená s elektrifikací traktury a rozšířením rejstříkové dispozice.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Kostel_sv._Cyrila_a_Metodeje_2.jpg/377px-Kostel_sv._Cyrila_a_Metodeje_2.jpg|Michal Maňas , CC BY 4.0, via Wikimedia Commons||
131||Praha|kostel Krista Spasitele (Barrandov)|Hlavní město Praha|Hlavní město Praha|Kánský-Brachtl||8||50.0355436|14.3731914||2023|2|40|mz|mechanická traktura, zásuvková vzdušnice|||||||||5|1||||1|||1|||||římskokatolický kostel|||Nově postavené varhany stylově vychází z francouzského romantického varhanářství, reprezentovaného varhanářem Aristide Cavaillé-Collem. Tato stylová koncepce je u nás velmi vzácná.|||https://www.klasikaplus.cz/varhany-a-varhanici-38-br-nove-varhany-na-barrandove/; https://cs.wikipedia.org/wiki/Kostel_Krista_Spasitele_a_komunitn%C3%AD_centrum_Praha-Barrandov#Varhany; https://prazsky-magazin.cz/kultura/hudba-kultura/nove-pistalove-varhany-v-kostele-krista-spasitele-a-inauguracni-koncert/|?||Varhanní skříň nese výtvarné znázorění Stromu poznání dobra a zla. Spolunavrhl ji akad. sochař Petr Váňa, autor řady dalších interiérových prvků nového kostela.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Kostel_Krista_Spasitele_-_Praha-Barrandov.11.jpg/312px-Kostel_Krista_Spasitele_-_Praha-Barrandov.11.jpg|Stepet49, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Kostel_Krista_Spasitele_Praha_-_Barrandov_1.jpg/420px-Kostel_Krista_Spasitele_Praha_-_Barrandov_1.jpg|Trasprd, CC BY-SA 4.0, via Wikimedia Commons
132||Praha|kostel sv. Anežky České (Spořilov)|Hlavní město Praha|Hlavní město Praha|Dlabal-Mettler||48||50.0440628|14.4790519||2020|2|37|mz|mechanická traktura, zásuvková vzdušnice|||||||||6|1||||1|||1|1||||římskokatolický kostel||||||https://farnost-sporilov.cz/varhany; https://www.klasikaplus.cz/varhany-a-varhanici-31-br-nove-varhany-v-praze-na-sporilove/|1502||Dispozice nových varhan obsahuje množství hlubokých osmistopých hlasů a prozrazuje tak určitou inspiraci v romantickém varhanářství.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Praha_Spo%C5%99ilov_Kostel.jpg/615px-Praha_Spo%C5%99ilov_Kostel.jpg|Czech Wikipedia user Packa, CC BY-SA 2.5, via Wikimedia Commons||
133||Kolín|kostel sv. Bartoloměje|Středočeský|Kolín|Dlabal-Mettler; Kánský-Brachtl||48;13||50.0266383|15.2017997||2024|3|53|m-Bkz|mechanická traktura s Barkerovou pákou, zásuvková vzdušnice|||24000000||||||3|1||||1|||1|||1||římskokatolický kostel||||||https://varhanykolin.cz/; https://www.klasikaplus.cz/varhany-a-varhanici-43-br-nove-varhany-v-kostele-sv-bartolomeje-v-koline/|572||Velkoryse koncipovaný nástroj, který vědomě vychází z tradic francouzského symfonického varhanářství, reprezentovaného varhanářem Aristide Cavaillé-Collem. Tomuto návrhu odpovídá intonace varhan, technické řešení i ergonomie hracího stolu. Stylová koncepce navazující na francouzské romantické varhanářství byla u nás doposud velmi vzácná. Varhany patří k největším domácím nástrojům postaveným po r. 1989. Na stavbě spolupracovaly dvě renomované domácí varhanářské firmy – Dlabal-Mettler a Kánský-Brachtl. Mechanismus Barkerovy páky je vybudován ve strojích Grand orgue a Récit. Varhany jsou umístěny do historické skříně Antonína Mölzera.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kolin_Bartolomeus.JPG/539px-Kolin_Bartolomeus.JPG|Pajast, CC0, via Wikimedia Commons||
134||Hlučín|kostel sv. Jana Křtitele|Moravskoslezský|Opava|Kánský-Brachtl||8||49.8958917|18.1860911||2006|2|24|m|mechanická traktura|||||||||6|1||||1||1||||||římskokatolický kostel||||||http://kansky-brachtl.cz/www/nastroje/dispozice/hlucin; https://www.farnosthlucin.cz/varhany/|3007||Stylovost nástroje přísně vychází z varhanářství 2. poloviny 17. století, a to včetně výtvarného řešení skříně. Odchylkou od této koncepce jsou chromatické tóny ve spodní oktávách manuálu a pedálu.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Hlu%C4%8D%C3%ADn_-_kostel_sv._Jana_K%C5%99titele_%28prosinec_2021%29.jpg/640px-Hlu%C4%8D%C3%ADn_-_kostel_sv._Jana_K%C5%99titele_%28prosinec_2021%29.jpg|MartinVeselka, CC BY-SA 4.0, via Wikimedia Commons||
